Ticker,Name,Exchange,Category
ADANIPORTS.NS,Adani Ports and Special Economic Zone Limited,NSI,Shipping
ZANUKCOM.BO,Anukaran Commercial Enterprises Ltd.,BSE,
OFSS.NS,Oracle Financial Services Software Limited,NSI,Business Software & Services
LICHSGFIN.NS,LIC Housing Finance Limited,NSI,Mortgage Investment
SUNDRMFAST.BO,Sundram Fasteners Limited,BSE,
SUNDARMFIN.BO,Sundaram Finance Limited,BSE,
RELAXO.BO,Relaxo Footwears Limited,BSE,
RCF.BO,Rashtriya Chemicals And Fertilizers Limited,BSE,
PFS.NS,PTC India Financial Services Limited,NSI,Mortgage Investment
PFC.NS,Power Finance Corporation Limited,NSI,Credit Services
MUTHOOTFIN.NS,Muthoot Finance Limited,NSI,Credit Services
KZLFIN.BO,KZ Leasing & Finance Ltd.,BSE,
HNDFDS.BO,Hindustan Foods Limited,BSE,
HILTON.BO,Hilton Metal Forging Limitied,BSE,
GOWRALE.BO,Gowra Leasing & Finance Ltd.,BSE,
FORCEMOT.BO,Force Motors Ltd.,BSE,
FOODSIN.BO,Foods & Inns Ltd.,BSE,
FILME.BO,Filmcity Media Ltd.,BSE,
FACT.NS,The Fertilisers And Chemicals Travancore Limited,NSI,Agricultural Chemicals
ADMANUM.BO,Ad-Manum Finance Ltd,BSE,
WSFIN.BO,Wall Street Finance Ltd.,BSE,
WALLFORT.BO,Wallfort Financial Services Limited,BSE,
VOITHPAPR.BO,Voith Paper Fabrics India Limited,BSE,
VBCFERROQ.BO,VBC Ferro Alloys Limited,BSE,
GSPL.NS,Gujarat State Petronet Limited,NSI,Gas Utilities
GAYAPROJ.BO,Gayatri Projects Limited,BSE,
GAIL.NS,GAIL (India) Limited,NSI,Gas Utilities
TAJGVK.BO,TAJGVK Hotels & Resorts Limited,BSE,
POWERGRID.NS,Power Grid Corporation of India Limited,NSI,Electric Utilities
ONGC.BO,Oil and Natural Gas Corp. Ltd.,BSE,
VHL.NS,Vardhman Holdings Limited,NSI,Credit Services
HINDUNILVR.NS,Hindustan Unilever Limited,NSI,Personal Products
HINDPETRO.NS,Hindustan Petroleum Corporation Limited,NSI,
HCC.NS,Hindustan Construction Company Limited,NSI,General Contractors
ITHL.BO,International Travel House Limited,BSE,
HIRECT.NS,Hind Rectifiers Limited,NSI,Diversified Electronics
HESTERBIO.BO,Hester Biosciences Ltd,BSE,
HCC.BO,Hindustan Construction Company Limited,BSE,
GUJHOTE.BO,Gujarat Hotels Ltd.,BSE,
GRAVISSHO.BO,Graviss Hospitality Limited,BSE,
BENARAS.BO,Benares Hotels Limited,BSE,
ZENITHHE.BO,Zenith Healthcare Ltd,BSE,
WONDERLA.BO,WONDERLA HOLIDAYS LTD,BSE,
WHBRADY.BO,WH Brady & Company Limited,BSE,
THEBYKE.BO,THE BYKE HOSPITALITY LTD.,BSE,
SHHARICH.BO,Shree Hari Chemicals Export Limited,BSE,
ROHLTD.NS,Royal Orchid Hotels Limited,NSI,Lodging
ROHLTD.BO,Royal Orchid Hotels Limited,BSE,
JUBLINDS.NS,Jubilant Industries Limited,NSI,Rubber & Plastics
JKIL.BO,J.Kumar Infraprojects Limited,BSE,
JISLJALEQS.NS,Jain Irrigation Systems Limited,NSI,Farm & Construction Machinery
JAIBALAJI.BO,Jai Balaji Industries Ltd.,BSE,
JYOTI.BO,Jyoti Ltd.,BSE,
JYOTHYLAB.NS,Jyothy Laboratories Limited,NSI,Personal Products
JUBLFOOD.NS,Jubilant FoodWorks Limited,NSI,Restaurants
JUBLFOOD.BO,Jubilant FoodWorks Limited,BSE,
JSWSTEEL.NS,JSW Steel Limited,NSI,
JSWSTEEL.BO,JSW STEEL LTD.,BSE,
JSWENERGY.BO,JSW Energy Limited,BSE,
JPTSEC.BO,JPT Securities Ltd.,BSE,
JPPOWER.NS,Jaiprakash Power Ventures Limited,NSI,Diversified Utilities
JPPOWER.BO,Jaiprakash Power Ventures Limited,BSE,
JPOLYINVST.NS,Jindal Poly Investment and Finance Company Limited,NSI,Asset Management
JPINFRATEC.BO,Jaypee Infratech Limited,BSE,
JKTYRE.NS,JK Tyre & Industries Limited,NSI,
JKPAPER.NS,JK Paper Limited,NSI,Paper & Paper Products
JISLDVREQS.NS,Jain Irrigation Systems Limited,NSI,Farm & Construction Machinery
JINDCOT.NS,Jindal Cotex Limited,NSI,Textile Industrial
JINDALSAW.NS,Jindal Saw Limited,NSI,Steel & Iron
JETKINGQ.BO,Jetking Infotrain Limited,BSE,
JETAIRWAYS.BO,Jet Airways (India) Ltd.,BSE,
JCTLTD.BO,JCT Ltd.,BSE,
JBFIND.NS,JBF Industries Limited,NSI,Textile Industrial
JAMESWARREN.BO,JAMES WARREN TEA LTD,BSE,
JAGSONFI.BO,Jagsonpal Finance & Leasing Ltd,BSE,
JAGRAN.NS,Jagran Prakashan Limited,NSI,Publishing - Newspapers
JAMNAAUTO.NS,Jamna Auto Industries Limited,NSI,Auto Parts
JAICORPLTD.NS,Jai Corp Limited,NSI,Rubber & Plastics
JMA.NS,Jullundur Motor Agency (Delhi) Limited,NSI,Auto Parts
JYOTIRES.BO,Jyoti Resins & Adhesives Ltd.,BSE,
JUPITERIN.BO,JUPITER INFOMEDIA LTD.,BSE,
JUSTDIAL.NS,Just Dial Limited,NSI,
JKIL.NS,J. Kumar Infraprojects Limited,NSI,General Contractors
JAYAMEL.BO,Jayant Mercantile Co. Ltd.,BSE,
JINDWORLD.BO,JINDAL WORLDWIDE LTD.,BSE,
J&KBANK.NS,The Jammu and Kashmir Bank Limited,NSI,Money Center Banks
JINDALSTEL.BO,JINDAL STEEL & POWER LTD.,BSE,
JINDALPOLY.BO,JINDAL POLY FILMS LTD.,BSE,
JPASSOCIAT.BO,JAIPRAKASH ASSOCIATES LTD.,BSE,
JISLDVREQS.BO,JAIN IRRIGATION SYSTEMS LTD.,BSE,
JSTL.BO,Jeevan Scientific Technology L,BSE,
JKAGRI.BO,Florence Investech Limited,BSE,
JINDALSAW.BO,JINDAL SAW LTD.,BSE,
JENBURPH.BO,Jenburkt Pharmaceuticals Ltd.,BSE,
CJGEL.BO,C.J. Gelatine Products Ltd.,BSE,
JLMORI.BO,J. L. Morison (India) Limited,BSE,
PCJEWELLER.NS,PC Jeweller Limited,NSI,Jewelry Stores
JATTAINDUS.BO,JATTASHANKAR INDUSTIES LTD.,BSE,
JAYKAY.BO,JAYKAY ENTERPRISES LTD.,BSE,
JSL.BO,Jindal Stainless Limited,BSE,
JAYSYN.BO,Jaysynth Dyestuff India Ltd.,BSE,
JMCPROJECT.BO,JMC PROJECTS (INDIA) LTD.,BSE,
JTLINFRA.BO,JTL INFRA LTD.,BSE,
NARBADA.BO,Narbada Gems And Jewellery Ltd,BSE,
JAYUSH.BO,Jay Ushin Limited,BSE,
JSWENERGY.NS,JSW Energy Limited,NSI,Diversified Utilities
JUMBO.BO,JUMBO BAG LTD.,BSE,
SAIJEEV.BO,SAI JEEVADHARA FINANCE LIMITED,BSE,
JBFIND.BO,JBF Industries Limited,BSE,
JKCEMENT.NS,J.K. Cement Limited,NSI,General Building Materials
JINDHOT.BO,Jindal Hotels Ltd,BSE,
JUNIORBEES.NS,Goldman Sachs Junior BeES ETF,NSI,
JIKIND.BO,JIK INDUSTRIES LTD.,BSE,
LYPSAGEMS.BO,LYPSA GEMS & JEWELLERY LTD,BSE,
JOSTS.BO,Josts Engineering Company Ltd,BSE,
JINDALPHOT.NS,Jindal Photo Limited,NSI,"Recreational Goods, Other"
JAIHINDS.BO,Jaihind Synthetics Limited,BSE,
AJIL.BO,ATLAS JEWELLERY INDIA LIMITED,BSE,
JKTYRE.BO,JK TYRE & INDUSTRIES LTD.,BSE,
JAGSNPHARM.BO,JAGSONPAL PHARMACEUTICALS LTD.,BSE,
JAYBARMARU.BO,JAY BHARAT MARUTI LTD.,BSE,
JOYREALTY.BO,Joy Realty Ltd,BSE,
JAYAGROGN.NS,Jayant Agro-Organics Limited,NSI,Specialty Chemicals
PCJEWELLER.BO,PC JEWELLER LTD.,BSE,
JAIBALAJI.NS,Jai Balaji Industries Limited,NSI,Steel & Iron
JINDWORLD.NS,Jindal Worldwide Limited,NSI,Textile Industrial
JKPAPER.BO,JK PAPER LTD.,BSE,
JSWHL.NS,JSW Holdings Limited,NSI,Asset Management
JINDALPHOT.BO,JINDAL PHOTO LTD.,BSE,
JKLAKSHMI.BO,JK Lakshmi Cement Limited,BSE,
JTAPARIA.BO,J. TAPARIA PROJECTS LTD,BSE,
KMSUGAR.BO,KM Sugar Mills Ltd.,BSE,
SKPMIL.BO,Shree Krishna Paper Mills & Industries Ltd.,BSE,
KPRMILL.NS,K.P.R. Mill Limited,NSI,Textile - Apparel Clothing
KOTAKBANK.NS,Kotak Mahindra Bank Limited,NSI,Money Center Banks
SHKARTP.BO,Shree Karthik Papers Ltd.,BSE,
KUWERIN.BO,Kuwer Industries Limited,BSE,
KUNSTOFF.BO,Kunststoffe Industries,BSE,
KTKBANK.BO,Karnataka Bank Ltd.,BSE,
KSK.NS,KSK Energy Ventures Limited,NSI,Electric Utilities
KSERASERA.NS,KSS Limited,NSI,Entertainment - Diversified
KSCL.NS,Kaveri Seed Company Limited,NSI,Farm Products
KSCL.BO,Kaveri Seed Company Limited,BSE,
KREBSBIO.BO,Krebs Biochemicals & Industries Ltd,BSE,
KOTHARIPRO.NS,Kothari Products Limited,NSI,Industrial Metals & Minerals
KOTHARIPRO.BO,Kothari Products Ltd,BSE,
KOTARISUG.NS,Kothari Sugars and Chemicals Limited,NSI,Confectioners
KOTAKBANK.BO,Kotak Mahindra Bank Limited,BSE,
KOPRAN.NS,Kopran Limited,NSI,Drug Manufacturers - Major
KOPRAN.BO,Kopran Limited,BSE,
KOFFBREAK.BO,Koffee Break Pictures Limited,BSE,
KOATOOLIN.BO,KOA Tools India Limited,BSE,
KNRCON.NS,KNR Constructions Limited,NSI,General Contractors
KNRCON.BO,KNR Constructions Limited.,BSE,
KLKELEC.BO,KLK Electrical Ltd,BSE,
KITEX.NS,Kitex Garments Limited,NSI,Textile - Apparel Clothing
KIRLPNU.BO,Kirloskar Pneumatic Company Ltd,BSE,
KIRLOSENG.NS,Kirloskar Oil Engines Limited,NSI,Diversified Machinery
KIRANSY-B.BO,KIRAN SYNTEX LTD.,BSE,
KILPEST.BO,Kilpest India Ltd.,BSE,
KHODAY.BO,Khoday India Limited,BSE,
KHANDSE.BO,Khandwala Securities Limited,BSE,
KGL.NS,Karuturi Global Limited,NSI,Farm Products
KENNAMET.BO,Kennametal India Limited,BSE,
KENGI.BO,KENGOLD (INDIA) LTD.,BSE,
KEMP.BO,Kemp & Co. Ltd,BSE,
KEC.NS,KEC International Limited,NSI,Diversified Utilities
KDDL.BO,KDDL Limited,BSE,
KCPSUGIND.NS,K.C.P. Sugar and Industries Corporation Limited,NSI,Confectioners
KAYCEEI.BO,Kaycee Industries Ltd.,BSE,
GKCONS.BO,G.K. Consultants Limited,BSE,
EKC.NS,Everest Kanto Cylinder Limited,NSI,Diversified Machinery
DAICHI.BO,Dai-Ichi Karkaria Limited,BSE,
ABMKNO.BO,ABM Knowledgeware Limited,BSE,
KRITIIND.BO,Kriti Industries (India) Ltd.,BSE,
KAJARIR.BO,KIC Metaliks Ltd.,BSE,
KAIRA.BO,Kaira Can Company Limited,BSE,
KSL.NS,Kalyani Steels Limited,NSI,Steel & Iron
KUSHAL.BO,KUSHAL TRADELINK LTD,BSE,
KANELIND.BO,KANEL INDUSTRIES LIMITED,BSE,
KANSAINER.NS,Kansai Nerolac Paints Limited,NSI,Specialty Chemicals
KANDAGIRI.BO,KANDAGIRI SPINNING MILLS LTD.,BSE,
MRF.NS,MRF Limited,NSI,Rubber & Plastics
TATASTEEL.NS,Tata Steel Limited,NSI,Steel & Iron
SPICEJET.BO,SpiceJet Limited,BSE,
RPOWER.BO,Reliance Power Limited,BSE,
RELIANCE.NS,Reliance Industries Limited,NSI,Oil & Gas Refining & Marketing
NOCIL.NS,NOCIL Limited,NSI,Chemicals - Major Diversified
ICIL.NS,Indo Count Industries Limited,NSI,Textile Industrial
WALCHPF.BO,Walchand Peoplefirst Limited,BSE,
TCS.NS,Tata Consultancy Services Limited,NSI,Information Technology Services
TCI.BO,Transport Corp. of India Ltd.,BSE,
SASKEN.NS,Sasken Technologies Limited,NSI,Technical & System Software
RENUKA.BO,Shree Renuka Sugars Limited,BSE,
RELINFRA.NS,Reliance Infrastructure Limited,NSI,Electric Utilities
RELCAPITAL.BO,Reliance Capital Limited,BSE,
RAIN.BO,Rain Industries Limited,BSE,
PRAJIND.NS,Praj Industries Limited,NSI,General Contractors
OLYOI.BO,Olympic Oil Industries Ltd.,BSE,
MPILCORPL.BO,MPIL Corporation Limited,BSE,
MARUTI.NS,Maruti Suzuki India Limited,NSI,Auto Manufacturers - Major
LUPIN.NS,Lupin Limited,NSI,Drugs - Generic
INFY.BO,Infosys Limited,BSE,
INDRAMEDCO.BO,Indraprastha Medical Corp. Ltd.,BSE,
ZYDUSWELL.BO,Zydus Wellness Limited,BSE,
ZENOTECH.BO,Zenotech Laboratories Limited,BSE,
YESBANK.NS,Yes Bank Limited,NSI,Money Center Banks
XPROINDIA.NS,Xpro India Limited,NSI,Specialty Chemicals
WIPRO.BO,Wipro Ltd.,BSE,
VOLTAS.NS,Voltas Limited,NSI,General Contractors
VISAKAIND.NS,Visaka Industries Limited,NSI,General Building Materials
UNISTRMU.BO,Unistar Multimedia Limited,BSE,
UFO.NS,UFO Moviez India Limited,NSI,Entertainment - Diversified
UFLEX.NS,Uflex Limited,NSI,Packaging & Containers
TV18BRDCST.NS,TV18 Broadcast Limited,NSI,Broadcasting - TV
TRITONV.BO,Triton Valves Ltd,BSE,
TRIGYN.NS,Trigyn Technologies Limited,NSI,Technical & System Software
TRENT.NS,Trent Limited,NSI,Apparel Stores
TIDEWATER.NS,"Tide Water Oil Co. (India), Ltd.",NSI,Oil & Gas Refining & Marketing
TECHM.NS,Tech Mahindra Limited,NSI,Information Technology Services
TATAMOTORS.NS,Tata Motors Limited,NSI,Auto Manufacturers - Major
TATACHEM.NS,Tata Chemicals Limited,NSI,Chemicals - Major Diversified
TATACHEM.BO,Tata Chemicals Limited,BSE,
SUNPHARMA.NS,Sun Pharmaceutical Industries Limited,NSI,Drugs - Generic
SUDIN.BO,Sudev Industries Ltd.,BSE,
SUBROS.NS,Subros,NSI,Auto Parts
STURDY.BO,Sturdy Industries Ltd,BSE,
SPICEISL.BO,Spice Islands Apparels Ltd.,BSE,
SOUTHBANK.NS,The South Indian Bank Limited,NSI,Money Center Banks
SOFTSOL.BO,Softsol India Ltd.,BSE,
SKYIND.BO,Sky Industries Limited,BSE,
SKRABUL.BO,Shukra Bullions Ltd.,BSE,
SKFINDIA.NS,SKF India Limited,NSI,Diversified Machinery
SIEMENS.NS,Siemens Limited,NSI,Diversified Machinery
SHREECEM.BO,Shree Cement Limited,BSE,
RMCL.BO,Radha Madhav Corp. Ltd.,BSE,
MUTHTFN.BO,Muthoot Capital Services Ltd.,BSE,
MOSCHIP.BO,MosChip Semiconductor Technology Limited,BSE,
MINDTREE.NS,Mindtree Limited,NSI,Information Technology Services
MEGASOFT.NS,Megasoft Limited,NSI,Technical & System Software
MCLEODRUSS.BO,MCLEOD RUSSEL INDIA LTD.,BSE,
MCDOWELL-N.NS,UNITED SPIRITS INR10,NSI,
MAGNUM.NS,Magnum Ventures Limited,NSI,Paper & Paper Products
MAFATIND.BO,Mafatlal Industries Limited,BSE,
SABTN.NS,Sri Adhikari Brothers Television Network Limited,NSI,Broadcasting - TV
RAJTV.BO,Raj Television Network Ltd.,BSE,
PNC.NS,Pritish Nandy Communications Ltd,NSI,Entertainment - Diversified
NTPC.NS,NTPC Limited,NSI,Diversified Utilities
NILE.BO,Nile Ltd.,BSE,
NETTLINX.BO,Nettlinx Ltd,BSE,
NCLIND.NS,NCL Industries Limited,NSI,General Building Materials
NBCC.NS,NBCC (India) Limited,NSI,General Contractors
NATPEROX.BO,National Peroxide Limited,BSE,
UNITEDTEA.NS,The United Nilgiri Tea Estates Company Limited,NSI,Beverages - Soft Drinks
SUNTV.BO,Sun TV Network Ltd,BSE,
SMARTLINK.BO,Smartlink Network Systems Limited,BSE,
RAMANEWS.NS,Shree Rama Newsprint Limited,NSI,Paper & Paper Products
PNC.BO,Pritish Nandy Communications Ltd.,BSE,
NTPC.BO,NTPC Ltd.,BSE,
NPRFIN.BO,Npr Finance Ltd.,BSE,
NNTL.BO,N2N TECHNOLOGIES LIMITED,BSE,
NMDC.NS,NMDC Limited,NSI,Steel & Iron
NITINSPIN.BO,Nitin Spinners Ltd.,BSE,
NITCO.BO,Nitco Limited,BSE,
NIRLON.BO,Nirlon Ltd.,BSE,
NIRAJ.BO,Niraj Cement Structurals Ltd,BSE,
NILA.BO,Nila Infrastructures Ltd,BSE,
NIITLTD.NS,NIIT Limited,NSI,Information Technology Services
NIHARINF.BO,Nihar Info Global Ltd,BSE,
NHPC.NS,NHPC Limited,NSI,Electric Utilities
NGIND.BO,N.G. Industries Limited,BSE,
NFL.BO,National Fertilizers Ltd.,BSE,
NELCO.NS,Nelco Limited,NSI,Communication Equipment
NELCAST.NS,Nelcast Limited,NSI,Metal Fabrication
NELCAST.BO,Nelcast Limited,BSE,
NEELKAN.BO,Neelkanth Rockminerals Ltd.,BSE,
NECCLTD.NS,North Eastern Carrying Corporation Limited,NSI,Railroads
NEAGI.BO,Neelamalai Agro Industries Ltd.,BSE,
SAIL.BO,Steel Authority of India Limited,BSE,
CONCOR.NS,Container Corporation of India Limited,NSI,Air Delivery & Freight Services
UNIQUEO.BO,Unique Organics Ltd.,BSE,
UNIONBANK.NS,Union Bank of India,NSI,Money Center Banks
TINPLATE.BO,The Tinplate Company Of India Limited,BSE,
SCI.BO,The Shipping Corporation of India Limited,BSE,
RAJOIL.BO,Raj Oil Mills Limited,BSE,
OVOBELE.BO,OVOBEL FOODS LTD.,BSE,
ORIENTLTD.BO,ORIENT PRESS LTD.,BSE,
ORIENTBELL.BO,ORIENT BELL LIMITED,BSE,
ORGCOAT.BO,Organic Coatings Ltd.,BSE,
OMKARCHEM.BO,OMKAR SPECIALITY CHEMICALS LTD,BSE,
OMAXE.NS,Omaxe Limited,NSI,Real Estate Development
OMAXE.BO,Omaxe Ltd.,BSE,
OMAXAUTO.NS,Omax Autos Limited,NSI,Auto Parts
OKPLA.BO,OK Play India Limited,BSE,
OIL.NS,Oil India Limited,NSI,Independent Oil & Gas
OIL.BO,Oil India Limited,BSE,
OBEROIRLTY.NS,Oberoi Realty Limited,NSI,Property Management
MCX.NS,Multi Commodity Exchange of India Limited,NSI,Asset Management
LAOPALA.NS,La Opala RG Limited,NSI,Home Furnishings & Fixtures
LAHOTIOV.BO,Lahoti Overseas Limited,BSE,
IOC.BO,Indian Oil Corporation Limited,BSE,
IOB.BO,Indian Overseas Bank,BSE,
GKB.BO,GKB Ophthalmics Ltd,BSE,
CENTRALBK.BO,Central Bank of India,BSE,
BANKINDIA.NS,Bank of India Limited,NSI,Money Center Banks
BANG.NS,Bang Overseas Limited,NSI,Textile - Apparel Clothing
BANG.BO,Bang Overseas Ltd.,BSE,
AKSHOPTFBR.BO,Aksh Optifibre Limited,BSE,
ACGL.BO,Automobile Corp. of Goa Ltd.,BSE,
ABAN.NS,Aban Offshore Limited,NSI,Oil & Gas Drilling & Exploration
ONWARDTEC.NS,Onward Technologies Limited,NSI,Information Technology Services
GULFOILLUB.BO,GULF OIL LUBRICANTS INDIA LTD,BSE,
TCI.NS,Transport Corporation of India Limited,NSI,Air Delivery & Freight Services
ORIENTPPR.BO,ORIENT PAPER & INDUSTRIES LTD.,BSE,
BANKBARODA.BO,BANK OF BARODA,BSE,
SAHARA.BO,Sahara One Media and Entertainment Limited,BSE,
ORIENTBELL.NS,Orient Bell Limited,NSI,General Building Materials
OPTIEMUS.BO,OPTIEMUS INFRACOM LTD,BSE,
QUINTEGRA.NS,Quintegra Solutions Limited,NSI,Information Technology Services
UNQTYMI.BO,Union Quality Plastics Limited,BSE,
QUICKHEAL.NS,Quick Heal Technologies Limited,NSI,
QUASAR.BO,QUASAR INDIA LTD,BSE,
QUANTBUILD.BO,QUANTUM BUILD-TECH LTD,BSE,
QGOLDHALF.NS,Quantum Gold ETF,NSI,
QNIFTY.NS,Quantum Index ETF,NSI,
QNIFTY.BO,Quantum Mutual Fund - Quantum Index Fund,BSE,
QUICKHEAL.BO,Quick Heal Technologies Limite,BSE,
QGOLDHALF.BO,Quantum Mutual Fund - Quantum Gold Fund,BSE,
QUADRANT.BO,QUADRANT TELEVENTURES LIMITED,BSE,
QUEST.BO,QUEST SOFTECH (INDIA) LTD,BSE,
RPIL.BO,Ritesh Properties and Industries Ltd.,BSE,
RFLINT.BO,RFL International Ltd,BSE,
RAPICUT.BO,Rapicut Carbides Ltd.,BSE,
INDOCO.NS,Indoco Remedies Limited,NSI,Drugs - Generic
COARO.BO,Coastal Roadways Limited,BSE,
BSELINFRA.BO,BSEL Infrastructure Realty Limited,BSE,
TEXRAIL.NS,Texmaco Rail & Engineering Limited,NSI,Diversified Machinery
SUNTECK.BO,Sunteck Realty Limited,BSE,
SSWRL.BO,Shree Steel Wire Ropes Ltd.,BSE,
SAMKRG.BO,Samkrg Pistons and Rings Limited,BSE,
UTTAMSTL.NS,Uttam Galva Steels Limited,NSI,Steel & Iron
USHDI.BO,Ushdev International Limited,BSE,
USHAMART.NS,Usha Martin Limited,NSI,Steel & Iron
UNIVSTAR.BO,Universal Starch Chem Allied Ltd.,BSE,
UNIVARTS.BO,Universal Arts Ltd.,BSE,
UNITEDTE.BO,United Textiles Limited,BSE,
UNITECH.NS,Unitech Limited,NSI,Real Estate Development
UNIPLY.NS,Uniply Industries Limited,NSI,"Lumber, Wood Production"
UNIENTER.NS,Uniphos Enterprises Ltd.,NSI,
UNIABEXAL.BO,Uni Abex Alloy Products Ltd.,BSE,
UMESLTD.NS,Usha Martin Education & Solutions Limited,NSI,Education & Training Services
UGARSUGAR.NS,The Ugar Sugar Works Limited,NSI,Confectioners
CUB.NS,City Union Bank Limited,NSI,Money Center Banks
CARBORUNIV.BO,Carborundum Universal Limited,BSE,
BVCL.NS,Barak Valley Cements Limited,NSI,General Building Materials
VSTTILLERS.NS,V.S.T. Tillers Tractors Limited,NSI,Farm & Construction Machinery
VSTIND.NS,VST Industries Limited,NSI,"Tobacco Products, Other"
VOLTAS.BO,Voltas Ltd.,BSE,
VOLTAMP.NS,Voltamp Transformers Limited,NSI,Diversified Machinery
VIVIDIND.BO,Vivid Global Industries Limited,BSE,
VIVIDHA.BO,Visagar Polytex Ltd.,BSE,
VISUINTL.NS,Ed & Tech international Limited,NSI,Education & Training Services
VIRTUALS.BO,Virtualsoft Systems Ltd,BSE,
VIPIND.NS,VIP Industries Limited,NSI,Textile - Apparel Footwear & Accessories
VINYOFL.BO,Vinyoflex Ltd.,BSE,
VIMTALABS.NS,Vimta Labs Limited,NSI,Medical Laboratories & Research
VIJSOLX.BO,Vijay Solvex Ltd,BSE,
VIDEOIND.NS,Videocon Industries Limited,NSI,Electronic Equipment
VESUVIUS.BO,Vesuvius India Limited,BSE,
VENLONENT.BO,Venlon Enterprises Limited,BSE,
VEERENRGY.BO,Veer Energy & Infrastructure Ltd,BSE,
SWASTIVI.BO,Swasti Vinayaka Synthetics Limited,BSE,
ROYALCU.BO,Royal Cushion Vinyl Products,BSE,
HMVL.NS,Hindustan Media Ventures Limited,NSI,Publishing - Newspapers
GEECEE.BO,GeeCee Ventures Ltd,BSE,
BVCL.BO,Barak Valley Cement Ltd.,BSE,
SIDDHA.BO,Siddha Ventures Ltd,BSE,
VLSFINANCE.NS,VLS Finance Limited,NSI,Investment Brokerage - National
VIKASGRAN.BO,Vikas Granaries Ltd,BSE,
VSFPROJ.BO,VSF Projects Limited,BSE,
VRLLOG.BO,VRL Logistics Limited,BSE,
VINDHYATEL.BO,VINDHYA TELELINKS LTD.,BSE,
