Name,Exchange,Ticker,corr
Maruti Suzuki India Limited,NSI,MARUTI.NS,2.16
Lupin Limited,NSI,LUPIN.NS,-6.5
Infosys Limited,BSE,INFY.BO,44.48
Indraprastha Medical Corp. Ltd.,BSE,INDRAMEDCO.BO,-32.93
Zydus Wellness Limited,BSE,ZYDUSWELL.BO,-42.02
Zenotech Laboratories Limited,BSE,ZENOTECH.BO,-41.24
Yes Bank Limited,NSI,YESBANK.NS,6.91
Xpro India Limited,NSI,XPROINDIA.NS,-24.91
Wipro Ltd.,BSE,WIPRO.BO,12.14
Voltas Limited,NSI,VOLTAS.NS,-18.82
Visaka Industries Limited,NSI,VISAKAIND.NS,-22.54
Unistar Multimedia Limited,BSE,UNISTRMU.BO,
UFO Moviez India Limited,NSI,UFO.NS,
Uflex Limited,NSI,UFLEX.NS,-52.35
TV18 Broadcast Limited,NSI,TV18BRDCST.NS,-20.62
Triton Valves Ltd,BSE,TRITONV.BO,-33.51
Trigyn Technologies Limited,NSI,TRIGYN.NS,-29.81
Trent Limited,NSI,TRENT.NS,-25.34
"Tide Water Oil Co. (India), Ltd.",NSI,TIDEWATER.NS,-26.96
Tech Mahindra Limited,NSI,TECHM.NS,9.69
Tata Motors Limited,NSI,TATAMOTORS.NS,1.33
Tata Chemicals Limited,NSI,TATACHEM.NS,-4.19
Tata Chemicals Limited,BSE,TATACHEM.BO,-4.12
Sun Pharmaceutical Industries Limited,NSI,SUNPHARMA.NS,-1.48
Sudev Industries Ltd.,BSE,SUDIN.BO,
Subros,NSI,SUBROS.NS,-27.02
Sturdy Industries Ltd,BSE,STURDY.BO,20.51
Spice Islands Apparels Ltd.,BSE,SPICEISL.BO,-34.79
The South Indian Bank Limited,NSI,SOUTHBANK.NS,-38.34
Softsol India Ltd.,BSE,SOFTSOL.BO,-12.36
Sky Industries Limited,BSE,SKYIND.BO,
Shukra Bullions Ltd.,BSE,SKRABUL.BO,
SKF India Limited,NSI,SKFINDIA.NS,-22.76
Siemens Limited,NSI,SIEMENS.NS,-8.51
Shree Cement Limited,BSE,SHREECEM.BO,-17.39
Radha Madhav Corp. Ltd.,BSE,RMCL.BO,-7.16
Muthoot Capital Services Ltd.,BSE,MUTHTFN.BO,1.48
MosChip Semiconductor Technology Limited,BSE,MOSCHIP.BO,-40.6
Mindtree Limited,NSI,MINDTREE.NS,15.52
Megasoft Limited,NSI,MEGASOFT.NS,-41.25
MCLEOD RUSSEL INDIA LTD.,BSE,MCLEODRUSS.BO,-47.92
UNITED SPIRITS INR10,NSI,MCDOWELL-N.NS,-13.9
Magnum Ventures Limited,NSI,MAGNUM.NS,-19.94
Mafatlal Industries Limited,BSE,MAFATIND.BO,-4.12
Sri Adhikari Brothers Television Network Limited,NSI,SABTN.NS,-32.78
Raj Television Network Ltd.,BSE,RAJTV.BO,12.09
Pritish Nandy Communications Ltd,NSI,PNC.NS,-20.42
NTPC Limited,NSI,NTPC.NS,-23.27
Nile Ltd.,BSE,NILE.BO,5.74
Nettlinx Ltd,BSE,NETTLINX.BO,10.0
NCL Industries Limited,NSI,NCLIND.NS,-37.14
NBCC (India) Limited,NSI,NBCC.NS,-26.26
National Peroxide Limited,BSE,NATPEROX.BO,-36.51
The United Nilgiri Tea Estates Company Limited,NSI,UNITEDTEA.NS,-35.31
Sun TV Network Ltd,BSE,SUNTV.BO,-7.8
Smartlink Network Systems Limited,BSE,SMARTLINK.BO,-46.38
Shree Rama Newsprint Limited,NSI,RAMANEWS.NS,-46.41
Pritish Nandy Communications Ltd.,BSE,PNC.BO,-21.59
NTPC Ltd.,BSE,NTPC.BO,-23.45
Npr Finance Ltd.,BSE,NPRFIN.BO,-5.15
N2N TECHNOLOGIES LIMITED,BSE,NNTL.BO,
NMDC Limited,NSI,NMDC.NS,-23.31
Nitin Spinners Ltd.,BSE,NITINSPIN.BO,14.04
Nitco Limited,BSE,NITCO.BO,-40.38
Nirlon Ltd.,BSE,NIRLON.BO,-16.56
Niraj Cement Structurals Ltd,BSE,NIRAJ.BO,-22.0
